Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Actual Date of Completion (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAR26 progress (%),Sector
11,611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",(Airport Authority of India [AAI]),Jammu and Kashmir,10/2023,12/2023,,06/2026,06/2026,861.37,861.37,299.47,48.0,Aviation & Aviation Infrastructure
12,612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,(Airport Authority of India [AAI]),Karnataka,06/2023,01/2024,,01/2026,06/2026,320.47,320.47,125.91,68.0,Aviation & Aviation Infrastructure
13,612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,(Airport Authority of India [AAI]),Karnataka,06/2023,02/2024,,02/2026,04/2026,322.45,322.45,183.0,78.0,Aviation & Aviation Infrastructure
14,612789,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",(Airport Authority of India [AAI]),Kerala,06/2023,02/2024,,09/2025,06/2026,484.57,484.57,171.48,46.0,Aviation & Aviation Infrastructure
15,400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",(Airport Authority of India [AAI]),Ladakh,07/2018,09/2018,,09/2021,07/2026,480.0,640.0,492.25,78.0,Aviation & Aviation Infrastructure
16,706718,C/o NITB Imphal Airport,(Airport Authority of India [AAI]),Manipur,11/2021,07/2022,,07/2024,12/2026,499.0,499.0,174.89,46.0,Aviation & Aviation Infrastructure
17,611570,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",(Airport Authority of India [AAI]),"Multi-States (Karnataka, Maharashtra, Telangana, Uttar Pradesh)",12/2020,10/2022,,09/2025,08/2026,500.48,500.48,368.21,78.0,Aviation & Aviation Infrastructure
18,618977,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",(Airport Authority of India [AAI]),Rajasthan,08/2025,10/2025,,10/2027,-,1507.0,1507.0,27.67,7.0,Aviation & Aviation Infrastructure
19,701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,(Airport Authority of India [AAI]),Rajasthan,06/2022,05/2023,,03/2026,03/2026,480.0,480.0,335.37,95.0,Aviation & Aviation Infrastructure
20,701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,(Airport Authority of India [AAI]),Rajasthan,06/2023,11/2023,,03/2026,09/2026,887.0,887.0,479.75,61.0,Aviation & Aviation Infrastructure
21,612793,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",(Airport Authority of India [AAI]),Sikkim,11/2023,12/2023,,06/2026,-,323.26,323.26,68.04,28.0,Aviation & Aviation Infrastructure
22,611602,"Modernization of Chennai Airport, Phase II, Part 2",(Airport Authority of India [AAI]),Tamil Nadu,05/2018,06/2023,,07/2025,12/2026,1207.0,1207.0,250.29,32.0,Aviation & Aviation Infrastructure
23,701113,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",(Airport Authority of India [AAI]),Uttar Pradesh,07/2024,07/2024,,07/2027,07/2027,2869.65,2869.65,487.14,23.0,Aviation & Aviation Infrastructure
24,701122,Development of New Integrated Civil Enclave at Agra Airport,(Airport Authority of India [AAI]),Uttar Pradesh,06/2024,07/2024,,07/2026,-,579.0,579.0,176.01,36.0,Aviation & Aviation Infrastructure
25,611495,Development of New Civil Enclave at Bagdogra Airport,(Airport Authority of India [AAI]),West Bengal,08/2024,09/2024,,03/2027,01/2027,1549.0,1549.0,403.76,19.0,Aviation & Aviation Infrastructure
26,612791,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",(Airport Authority of India [AAI]),West Bengal,03/2023,12/2023,,10/2025,08/2026,328.3,328.3,115.65,49.0,Aviation & Aviation Infrastructure
27,615820,TIKAK EXTENSION OCP,(MIS MoCoal Integration Logins),Assam,07/2022,07/2022,,07/2031,-,159.77,159.77,81.47,88.0,Coal
28,615821,TIRAP OCP,(MIS MoCoal Integration Logins),Assam,11/2022,11/2022,,11/2030,-,289.46,289.46,105.61,3.0,Coal
29,400144,PORDA CHIMTAPANI OCP [10 MTY],(South Eastern Coalfields Limited [SECL]),Chhattisgarh,12/2020,12/2020,,03/2029,-,2310.12,2310.12,94.48,10.0,Coal
30,400149,BAROUD OC EXPANSION [3.0-10.0M,(South Eastern Coalfields Limited [SECL]),Chhattisgarh,08/2020,08/2020,,03/2029,-,2309.8,2309.8,958.83,55.0,Coal
31,400354,DIPKA EXPANSION OCP [40 MTY],(South Eastern Coalfields Limited [SECL]),Chhattisgarh,12/2020,12/2020,,03/2029,-,5241.4,5241.4,2873.06,37.0,Coal
32,60100093,GEVRA OC [70 MTY] (South Eastern Coalfields Limited [SECL]),(400424),Chhattisgarh,03/2016,03/2016,,03/2023,03/2027,11816.4,11816.4,6846.96,78.0,Coal
33,613798,AMERA OC RCE [1.0 MTY],(South Eastern Coalfields Limited [SECL]),Chhattisgarh,02/2015,02/2015,,03/2026,-,335.97,335.97,90.07,42.0,Coal
34,613799,AMGAON OC RCE [1.0 MTY],(South Eastern Coalfields Limited [SECL]),Chhattisgarh,07/2015,07/2015,,03/2026,-,316.11,316.11,188.72,78.0,Coal
35,613800,JAGANNATHPUR OC RCE PROJECT,(South Eastern Coalfields Limited [SECL]),Chhattisgarh,07/2016,07/2016,,03/2025,03/2026,459.49,459.49,274.35,96.0,Coal
36,613801,MAHAMAYA OCP [1.50 MTY],(South Eastern Coalfields Limited [SECL]),Chhattisgarh,05/2018,05/2018,,03/2026,03/2028,410.26,410.26,185.55,54.0,Coal
37,615191,KATKONA RO UG MINE,(South Eastern Coalfields Limited [SECL]),Chhattisgarh,01/2023,01/2023,,03/2029,-,329.21,329.21,61.93,2.0,Coal
38,616234,PELMA OC MDO,(South Eastern Coalfields Limited [SECL]),Chhattisgarh,10/2022,10/2022,,03/2033,-,1725.04,1725.04,15.91,40.0,Coal
39,617287,KUSMUNDA OC EXPANSION PROJECT,(SECL - CIL),Chhattisgarh,11/2024,11/2024,,03/2030,-,4516.88,4516.88,790.57,21.0,Coal
40,617288,MANIKPUR OC EXPANSION PROJECT,(South Eastern Coalfields Limited [SECL]),Chhattisgarh,01/2025,01/2025,,03/2029,-,382.61,382.61,113.03,21.0,Coal
41,619171,RPR FOR DURGAPUR OCP 10 MTY,(SECL - CIL),Chhattisgarh,09/2025,09/2025,,03/2032,-,2415.91,2415.91,1.66,0.0,Coal
42,619172,MADANNAGAR OCP 12 MTY - MDO,(SECL - CIL),Chhattisgarh,12/2024,12/2024,,03/2029,-,1859.19,1859.19,0.0,0.0,Coal
43,400018,HURA C OCP,(ECL - CIL),Jharkhand,08/2022,08/2022,,03/2029,-,859.41,859.41,455.31,63.0,Coal
44,400073,KONAR EXPANSION OCP,(Ministry of Coal),Jharkhand,01/2022,01/2022,,03/2032,-,799.34,799.34,429.94,46.0,Coal
45,400074,KARO EXPANSION OCP,(Ministry of Coal),Jharkhand,01/2022,01/2022,,03/2029,-,908.47,908.47,278.34,22.0,Coal
46,400136,SANGHMITRA OC,(Ministry of Coal),Jharkhand,03/2024,03/2024,,03/2032,-,2660.0,2660.0,6.57,16.0,Coal
47,400138,CHANDRAGUPT OCP,(Ministry of Coal),Jharkhand,08/2020,08/2020,,03/2032,-,973.5,973.5,440.75,24.0,Coal
48,400139,KOTRE BASANTPUR PACHMO OCP,(Ministry of Coal),Jharkhand,08/2020,08/2020,,03/2032,-,861.06,625.4,455.95,42.0,Coal
49,400142,Pachwara South Coal Block,(NLC India Limited [NLCIL]),Jharkhand,03/2016,11/2019,,09/2028,-,2242.9,2242.9,1295.12,87.0,Coal
50,400150,RPR MAGADH EXP OCP,(Ministry of Coal),Jharkhand,08/2020,08/2020,,03/2028,-,7254.37,7254.37,1628.47,38.0,Coal
51,400151,NORTH URIMARI EXPANSION OCP,(Ministry of Coal),Jharkhand,07/2021,07/2021,,03/2029,-,778.8,778.8,602.95,68.0,Coal
52,400153,EPR ROHINI - KARKETTA OCP,(Ministry of Coal),Jharkhand,01/2021,01/2021,,03/2028,-,1020.42,1020.42,84.94,21.0,Coal
53,400154,EPR PUNDI OCP,(Ministry of Coal),Jharkhand,11/2020,11/2020,,03/2027,-,713.35,713.35,236.58,10.0,Coal
54,400155,EPR ASHOK OC,(Ministry of Coal),Jharkhand,05/2021,05/2021,,03/2031,-,2898.28,2898.28,185.19,26.0,Coal
55,400156,EPR AMRAPALI OCP,(Ministry of Coal),Jharkhand,02/2020,02/2020,,03/2028,-,5136.15,5136.15,1298.91,42.0,Coal
56,400160,RAJRAPPA RCE OCP,(Ministry of Coal),Jharkhand,12/2009,12/2009,,03/2016,03/2027,510.85,510.85,488.71,77.0,Coal
57,400172,CHITRA EAST OC,(Eastern Coal Fields Limited [ECL]),Jharkhand,08/2018,08/2018,,03/2026,03/2028,513.99,513.99,231.46,53.0,Coal
58,400352,JHARKHAND-LAIYO OCP,(Ministry of Coal),Jharkhand,08/2020,08/2020,,03/2031,-,764.57,764.57,145.81,29.0,Coal
59,400425,MOONIDIH XV SEAM UG,(Ministry of Coal),Jharkhand,08/2011,08/2011,,03/2019,08/2026,1230.27,1230.27,657.71,82.0,Coal
60,611017,2.5 MTPA PATHERDIH NLW WASHERY,(Ministry of Coal),Jharkhand,10/2015,04/2016,,04/2018,12/2026,334.27,334.27,161.5,51.0,Coal
61,611864,AMALAGAMATED NTST KUJAMA OCP 8.5MTY,(Ministry of Coal),Jharkhand,01/2023,01/2023,,03/2030,-,4011.85,4011.85,414.93,28.0,Coal
62,613808,MURAIDIH UG PROJECT,(Ministry of Coal),Jharkhand,02/2011,02/2011,,04/2014,12/2026,339.87,339.87,191.0,70.0,Coal
63,615349,TAPIN SOUTH EXPN,(Ministry of Coal),Jharkhand,11/2020,11/2020,,03/2028,-,230.41,230.41,22.02,21.0,Coal
64,615822,SIRKA OC,(Ministry of Coal),Jharkhand,05/2020,05/2020,,03/2028,-,222.82,222.82,140.58,53.0,Coal
65,615843,TETARIAKHAR OC,(Ministry of Coal),Jharkhand,11/2019,11/2019,,03/2025,03/2027,243.52,243.52,49.54,30.0,Coal
66,616225,CHUPERBHITA SIMLONG OCP MDO 6,(Eastern Coal Fields Limited [ECL]),Jharkhand,12/2023,12/2023,,03/2037,-,979.08,979.08,0.0,0.0,Coal
67,616236,JARANGDIH EXPN. OCP 1.5 MTY,(CCL - CIL),Jharkhand,02/2020,02/2020,,03/2029,-,414.37,414.37,85.6,33.0,Coal
68,616253,BLOCK E OCP,(Ministry of Coal),Jharkhand,03/2024,03/2024,,03/2029,-,5850.83,5850.83,20.32,4.0,Coal
69,617416,"Revised Jharia Master Plan for Dealing with Fire, Subsidence & Rehabilitation of affected families in Jharia Coalfield- Reg.",(Bharat Coking Coal Limited [BCCL]),Jharkhand,06/2025,07/2025,,12/2028,-,5940.47,5940.47,40.21,22.0,Coal
70,400148,AMADAND OCP[4.0MTY],(Ministry of Coal),Madhya Pradesh,03/2016,03/2016,,03/2021,03/2027,869.44,869.44,281.8,75.0,Coal
71,400152,RAMPUR BATURA OCP [4.0MTY],(South Eastern Coalfields Limited [SECL]),Madhya Pradesh,07/2019,07/2019,,03/2026,-,1248.93,1248.93,498.6,44.0,Coal
72,400162,BLOCK B EXPANSION [3.5 TO 8.0,(Northern Coalfields Limited [NCL]),Madhya Pradesh,07/2019,07/2019,,03/2023,03/2027,998.71,998.71,494.61,48.0,Coal
73,400321,NIGAHI EXPANSION [15 TO 25 MTP,(Northern Coalfields Limited [NCL]),Madhya Pradesh,11/2020,11/2020,,03/2025,03/2028,1729.68,1729.68,892.81,48.0,Coal
74,613802,KANCHAN OC EXP,(South Eastern Coalfields Limited [SECL]),Madhya Pradesh,12/2014,12/2014,,03/2026,03/2028,371.04,371.04,144.62,58.0,Coal
75,613803,JHIRIA WEST OCP [1.5 MTY],(South Eastern Coalfields Limited [SECL]),Madhya Pradesh,01/2024,01/2024,,03/2029,-,366.94,366.94,34.12,41.0,Coal
76,613804,RPR TAWA-III UG 0.84 MTY,(Western Coalfields Limited [WCL]),Madhya Pradesh,12/2021,12/2021,,03/2027,-,314.09,314.09,5.21,17.0,Coal
77,615185,AMALGAMATED DHANKASA & JAMUNIA,(Western Coalfields Limited [WCL]),Madhya Pradesh,09/2022,09/2022,,03/2027,-,399.2,399.2,99.89,67.0,Coal
78,615187,RPR OF VISHNUPURI UG TO OC,(Western Coalfields Limited [WCL]),Madhya Pradesh,11/2022,11/2022,,03/2029,-,220.62,220.62,0.0,11.0,Coal
79,615194,URDHAN EXPANSION OC COST PLUS,(Western Coalfields Limited [WCL]),Madhya Pradesh,07/2022,01/2023,,03/2031,-,206.88,206.88,27.19,2.0,Coal
80,615195,SHARDA UG MINE,(Western Coalfields Limited [WCL]),Madhya Pradesh,07/2022,09/2023,,03/2028,-,166.25,166.25,5.43,9.0,Coal
81,615206,GANDHIGRAM UG MINE,(Western Coalfields Limited [WCL]),Madhya Pradesh,08/2019,08/2019,,03/2026,-,414.15,414.15,17.25,56.0,Coal
82,619032,JAYANT EXPN. [20 TO 38 MTPA],(Northern Coalfields Limited [NCL]),Madhya Pradesh,02/2025,02/2025,,03/2032,-,25560.48,25560.5,56.25,0.0,Coal
83,619053,RPR FOR RAMPUR BATURA OCP,(SECL - CIL),Madhya Pradesh,05/2025,05/2025,,03/2030,-,1604.69,1604.69,62.52,0.0,Coal
84,400033,BHATADI EXPANSION OC,(Western Coalfields Limited [WCL]),Maharashtra,02/2020,05/2022,,03/2028,-,580.61,580.61,105.46,33.0,Coal
85,400177,AMALGAMATED YEKONA I & YEKONA,(Western Coalfields Limited [WCL]),Maharashtra,08/2015,08/2015,,03/2025,03/2026,727.28,727.28,538.98,80.0,Coal
86,400178,DINESH[MAKARDHOKRA-III] OC,(Western Coalfields Limited [WCL]),Maharashtra,02/2020,02/2020,,03/2027,-,822.88,822.88,630.33,37.0,Coal
87,400353,DHUPTALA OC [SASTI UG TO OC ],(Western Coalfields Limited [WCL]),Maharashtra,02/2019,10/2021,,03/2028,-,711.01,711.01,172.84,19.0,Coal
88,615184,SAONER UG MINE -1 EXPANSION 1.,(Western Coalfields Limited [WCL]),Maharashtra,01/2022,01/2022,,03/2028,-,228.64,228.64,147.13,68.0,Coal
89,615186,SASTI EXPANSION OPENCAST,(Western Coalfields Limited [WCL]),Maharashtra,08/2020,08/2020,,03/2026,-,319.04,319.04,98.36,20.0,Coal
90,615188,NEW MAJRI UG TO OC 3 MTY COST,(Western Coalfields Limited [WCL]),Maharashtra,05/2019,09/2022,,03/2027,-,402.27,402.27,66.54,24.0,Coal
91,615189,MAKARDHOKRA EXPN OC 4.9 MTY,(Western Coalfields Limited [WCL]),Maharashtra,06/2022,06/2022,,03/2026,-,361.87,361.87,86.47,12.0,Coal
92,615190,SINGHORI DEEP OC MIN 2.0 MTY,(Western Coalfields Limited [WCL]),Maharashtra,05/2022,05/2022,,03/2029,-,335.75,335.75,43.23,6.0,Coal
93,615192,GOKUL EXTENSION OC MINE,(Western Coalfields Limited [WCL]),Maharashtra,04/2021,04/2021,,03/2026,-,309.58,309.58,51.33,8.0,Coal
94,615199,KOLGAON EXPANSION DEEP OC MINE,(Western Coalfields Limited [WCL]),Maharashtra,01/2023,09/2023,,03/2027,-,198.71,198.71,19.09,2.0,Coal
95,615330,BALLARPUR NORTH WEST OC MINE,(Western Coalfields Limited [WCL]),Maharashtra,12/2022,12/2022,,03/2029,-,360.81,360.81,0.02,5.0,Coal
96,615331,GADEGAON OC 3 MTY,(Western Coalfields Limited [WCL]),Maharashtra,10/2023,10/2023,,03/2030,-,497.41,497.41,0.7,2.0,Coal
97,615914,GHONSA EXPANSION DEEP OC MINE,(Western Coalfields Limited [WCL]),Maharashtra,03/2021,03/2021,,03/2029,-,184.71,184.71,14.77,12.0,Coal
98,615916,AMLG GAURI PAUNI EXPANSION OC,(Western Coalfields Limited [WCL]),Maharashtra,04/2024,04/2024,,03/2030,-,1225.21,1225.21,82.8,3.0,Coal
99,615917,GAURIDEEP/GAURI CENTRAL OCP 7.,(Western Coalfields Limited [WCL]),Maharashtra,08/2023,06/2024,,03/2030,-,973.07,973.07,1.04,2.0,Coal
100,615918,RPR OF BHANEGAON OC,(Western Coalfields Limited [WCL]),Maharashtra,02/2017,09/2022,,03/2028,-,405.2,405.2,21.66,9.0,Coal
101,615919,N. EXTN. MUNGOLI NIRGUDA D OCP,(Western Coalfields Limited [WCL]),Maharashtra,06/2024,06/2024,,03/2029,-,1024.91,1024.91,181.16,0.0,Coal
102,615982,NILJAI EXPANSION DEEP OCP,(Western Coalfields Limited [WCL]),Maharashtra,08/2016,08/2016,,03/2022,03/2026,319.75,319.75,188.79,79.0,Coal
103,616044,UKNI DEEP OC MINE -COST PLUS,(Western Coalfields Limited [WCL]),Maharashtra,11/2018,01/2019,,03/2021,03/2026,237.06,237.06,166.07,93.0,Coal
104,616050,AMALGAMATED INDER-KAMPTEE DEEP,(Western Coalfields Limited [WCL]),Maharashtra,09/2018,09/2018,,03/2024,03/2026,235.9,235.9,132.21,98.0,Coal
105,616223,ADASA UG TO OC MINE,(Western Coalfields Limited [WCL]),Maharashtra,11/2018,11/2018,,03/2024,03/2026,316.0,316.0,208.68,86.0,Coal
106,616229,AMAL GONDEGAON GHATROHANA EXPN,(Western Coalfields Limited [WCL]),Maharashtra,09/2024,09/2024,,03/2029,-,668.54,668.54,1.33,0.0,Coal
107,617233,WAGHODA UG MINE [1.02 MTY],(Western Coalfields Limited [WCL]),Maharashtra,01/2024,01/2025,,03/2030,-,379.3,379.3,0.0,0.0,Coal
108,617278,KOLARPIMPRI EXPANSION OC [2.5,(Western Coalfields Limited [WCL]),Maharashtra,06/2024,02/2025,,03/2030,-,630.37,630.37,0.0,0.0,Coal
109,619055,SAONER-III EXPN UG MINE 1.54,(Western Coalfields Limited [WCL]),Maharashtra,08/2025,08/2025,,03/2032,-,444.42,444.42,0.0,0.0,Coal
110,400313,Master Plan for Jharia and Raniganj Coalfields,(Bharat Coking Coal Limited [BCCL]),"Multi-States (Jharkhand, West Bengal)",08/2009,08/2009,,08/2019,12/2028,2661.73,2661.73,799.12,43.0,Coal
111,400369,BINA KAKRI AMALGAMATION EXPANS,(Northern Coalfields Limited [NCL]),"Multi-States (Madhya Pradesh, Uttar Pradesh)",08/2020,08/2020,,03/2024,03/2027,836.42,836.42,832.78,89.0,Coal
112,615183,KHADIA EXPANSION [10 TO 16 MTP,(Northern Coalfields Limited [NCL]),"Multi-States (Madhya Pradesh, Uttar Pradesh)",06/2021,06/2021,,03/2025,03/2027,491.67,491.67,266.47,54.0,Coal
113,400165,SUBHADRA OCP,(Mahanadi Coalfields Limited [MCL]),Odisha,05/2021,05/2021,,04/2032,-,1693.81,1693.81,1327.55,44.0,Coal
114,400166,SIARMAL OCP,(Mahanadi Coalfields Limited [MCL]),Odisha,02/2021,02/2021,,03/2029,-,5194.95,5194.95,3465.14,57.0,Coal
115,400183,BALARAM EXPANSION OCP,(Mahanadi Coalfields Limited [MCL]),Odisha,08/2020,08/2020,,03/2029,-,3504.21,3504.21,932.85,55.0,Coal
116,400185,GOPALJI KANIHA OCP [10 TO 30 M,(MCL - CIL),Odisha,04/2022,04/2022,,03/2030,-,8416.19,6107.87,1765.48,31.0,Coal
117,400187,INTEGRATED LAKHANPUR-BELPAHAR-,(Mahanadi Coalfields Limited [MCL]),Odisha,05/2018,05/2018,,03/2027,-,2434.75,2434.75,1903.89,74.0,Coal
118,400392,BHARATPUR RE-ORGANIZATION OCP,(Mahanadi Coalfields Limited [MCL]),Odisha,11/2018,11/2018,,03/2029,-,2838.86,2838.86,1698.0,48.0,Coal
119,615193,BASUNDHARA WEST EXTENSION OPEN,(MCL - CIL),Odisha,05/2014,05/2014,,03/2019,03/2029,479.15,479.15,277.05,66.0,Coal
120,615857,Naini Coal Mine,(Singareni Collieries Company Limited [SCCL]),Odisha,03/2020,03/2020,,03/2026,-,494.3,494.3,491.33,80.0,Coal
121,616226,INTEGRATED KULDA GARJANBAHAL O,(Mahanadi Coalfields Limited [MCL]),Odisha,04/2023,04/2023,,03/2033,-,3563.5,3563.5,611.91,4.0,Coal
122,616231,BHUBANESWARI EXPN OCP 50 MTY,(MCL - CIL),Odisha,03/2024,03/2024,,03/2033,-,5366.27,5366.27,472.92,30.0,Coal
123,616232,HINGULA II OC EXPN PH III 15 M,(MCL - CIL),Odisha,11/2022,11/2022,,03/2029,-,1561.85,1561.85,275.75,27.0,Coal
124,616233,BALABHADRA OCP,(MCL - CIL),Odisha,04/2023,04/2023,,03/2030,-,978.44,978.44,249.93,14.0,Coal
125,618982,Talabira II & III OCP - FMC,(NLC India Limited [NLCIL]),Odisha,10/2022,05/2023,,06/2026,-,522.45,522.45,324.04,71.0,Coal
126,615818,Jawahar Khani Open Cast Mine,(Singareni Collieries Company Limited [SCCL]),Telangana,12/2021,12/2021,,03/2025,03/2027,297.88,297.88,47.47,20.0,Coal
127,615858,Kalyanikhani Opencast Project,(Singareni Collieries Company Limited [SCCL]),Telangana,03/2016,05/2017,,03/2026,-,384.32,384.32,285.95,75.0,Coal
128,615860,Godavarikhani Coal Mine - 5,(Singareni Collieries Company Limited [SCCL]),Telangana,07/2019,05/2019,,03/2025,03/2026,607.04,607.04,197.43,71.0,Coal
129,615861,Indaram Opencast Project,(Singareni Collieries Company Limited [SCCL]),Telangana,08/2017,12/2022,,03/2025,03/2026,424.81,424.81,405.43,80.0,Coal
130,615862,Goleti Opencast Mine,(Singareni Collieries Company Limited [SCCL]),Telangana,07/2021,08/2021,,03/2026,-,345.6,345.6,100.22,29.0,Coal
131,615863,Venkatesh Khani Coal Mine,(Singareni Collieries Company Limited [SCCL]),Telangana,10/2020,06/2020,,03/2026,-,484.5,484.5,477.14,97.0,Coal
132,615865,Kakatiyakhani OC - 2 Project,(Singareni Collieries Company Limited [SCCL]),Telangana,08/2017,09/2017,,03/2025,03/2026,442.42,442.42,234.21,63.0,Coal
133,400173,MOHANPUR EXPANSION OC -PHASE I,(Eastern Coal Fields Limited [ECL]),West Bengal,11/2020,11/2020,,03/2026,03/2030,888.99,888.99,122.69,31.0,Coal
134,400180,BONJEMEHARI EXPANSION OCP,(Eastern Coal Fields Limited [ECL]),West Bengal,08/2021,08/2021,,03/2026,03/2030,570.11,570.11,83.74,17.0,Coal
135,400181,NAKRAKONDA KUMARDIH- B OCP,(Eastern Coal Fields Limited [ECL]),West Bengal,08/2018,08/2018,,03/2029,-,502.68,502.67,72.0,27.0,Coal
136,400182,SIDULI [OC & UG],(ECL - CIL),West Bengal,05/2018,05/2018,,03/2027,03/2030,535.18,535.17,5.59,14.0,Coal
137,400186,TILABONI UG,(Eastern Coal Fields Limited [ECL]),West Bengal,01/2023,01/2023,,03/2029,-,749.08,749.07,53.17,11.0,Coal
138,400312,JHANJRA EXPANSION UG,(Eastern Coal Fields Limited [ECL]),West Bengal,04/2020,04/2020,,03/2029,-,1210.12,1210.12,592.29,45.0,Coal
139,400315,SONEPUR BAZARI EXPANSION OCP [,(Eastern Coal Fields Limited [ECL]),West Bengal,07/2021,07/2021,,03/2029,-,5365.88,5365.88,607.47,18.0,Coal
140,611016,2.0 MTPA BHOJUDIH NLW WASHERY,(Ministry of Coal),West Bengal,12/2015,03/2019,,09/2020,03/2026,384.57,384.57,360.66,97.0,Coal
141,612816,ITAPARA OCP,(Eastern Coal Fields Limited [ECL]),West Bengal,12/2023,12/2023,,03/2030,-,929.1,929.1,70.38,8.0,Coal
142,613793,SHYAMSUNDARPUR UG INCLUDING SA,(Eastern Coal Fields Limited [ECL]),West Bengal,04/2020,04/2020,,03/2026,03/2028,483.65,483.65,63.9,16.0,Coal
143,613794,PARASEA-BELBAID UG PROJECT,(Eastern Coal Fields Limited [ECL]),West Bengal,01/2023,01/2023,,03/2028,-,389.1,389.1,132.48,22.0,Coal
144,616230,PARASCOLE JAMBAD OCP,(Eastern Coal Fields Limited [ECL]),West Bengal,11/2024,11/2024,,03/2037,-,1193.55,1193.55,11.2,0.0,Coal
145,617299,50 MW Wind Power Project,(NLC India Limited [NLCIL]),Gujarat,07/2022,01/2024,,06/2025,01/2026,383.84,383.84,325.01,51.0,Electricity Generation
146,617730,600 MW Khavda Solar Power Project,(NLC India Limited [NLCIL]),Gujarat,08/2023,06/2024,,06/2026,-,3335.85,3335.85,1796.99,30.0,Electricity Generation
147,618991,200 MW SPP part of 510 MW CPSU scheme,(NLC India Limited [NLCIL]),Gujarat,07/2022,03/2024,,12/2026,-,1221.41,1221.41,63.57,0.0,Electricity Generation
